,Cancer_id,Cancer_type,Cancer_category,State_name,Race_name,Count,Percentage_population_below_poverty_in_state,Percentage_population_insured_in_state,State_population
0,29020,Kidney and Renal Pelvis,Urinary System,Alabama,Black or African American,235,18.4,89.2,4874747.0
1,29020,Kidney and Renal Pelvis,Urinary System,Alabama,White,800,18.4,89.2,4874747.0
2,29020,Kidney and Renal Pelvis,Urinary System,Alaska,American Indian or Alaska Native,29,10.1,84.5,739795.0
3,29020,Kidney and Renal Pelvis,Urinary System,Alaska,White,99,10.1,84.5,739795.0
4,29020,Kidney and Renal Pelvis,Urinary System,Alaska,Other Races and Unknown combined,0,10.1,84.5,739795.0
5,29020,Kidney and Renal Pelvis,Urinary System,Arizona,American Indian or Alaska Native,81,17.7,88.1,7016270.0
6,29020,Kidney and Renal Pelvis,Urinary System,Arizona,Black or African American,45,17.7,88.1,7016270.0
7,29020,Kidney and Renal Pelvis,Urinary System,Arizona,White,1095,17.7,88.1,7016270.0
8,29020,Kidney and Renal Pelvis,Urinary System,Arkansas,Black or African American,87,18.8,90.6,3004279.0
9,29020,Kidney and Renal Pelvis,Urinary System,Arkansas,White,574,18.8,90.6,3004279.0
10,29020,Kidney and Renal Pelvis,Urinary System,California,American Indian or Alaska Native,54,15.8,91.6,39536653.0
11,29020,Kidney and Renal Pelvis,Urinary System,California,Asian or Pacific Islander,571,15.8,91.6,39536653.0
12,29020,Kidney and Renal Pelvis,Urinary System,California,Black or African American,470,15.8,91.6,39536653.0
13,29020,Kidney and Renal Pelvis,Urinary System,California,White,5068,15.8,91.6,39536653.0
14,29020,Kidney and Renal Pelvis,Urinary System,California,Other Races and Unknown combined,73,15.8,91.6,39536653.0
15,29020,Kidney and Renal Pelvis,Urinary System,Colorado,Black or African American,42,12.2,91.4,5607154.0
16,29020,Kidney and Renal Pelvis,Urinary System,Colorado,White,733,12.2,91.4,5607154.0
17,29020,Kidney and Renal Pelvis,Urinary System,Connecticut,Black or African American,62,10.4,94.2,3588184.0
18,29020,Kidney and Renal Pelvis,Urinary System,Connecticut,White,600,10.4,94.2,3588184.0
19,29020,Kidney and Renal Pelvis,Urinary System,Connecticut,Other Races and Unknown combined,29,10.4,94.2,3588184.0
20,29020,Kidney and Renal Pelvis,Urinary System,Delaware,American Indian or Alaska Native,0,12.0,93.3,961939.0
21,29020,Kidney and Renal Pelvis,Urinary System,Delaware,Black or African American,37,12.0,93.3,961939.0
22,29020,Kidney and Renal Pelvis,Urinary System,Delaware,White,162,12.0,93.3,961939.0
23,29020,Kidney and Renal Pelvis,Urinary System,District of Columbia,American Indian or Alaska Native,0,17.9,95.9,693972.0
24,29020,Kidney and Renal Pelvis,Urinary System,District of Columbia,Black or African American,52,17.9,95.9,693972.0
25,29020,Kidney and Renal Pelvis,Urinary System,District of Columbia,White,16,17.9,95.9,693972.0
26,29020,Kidney and Renal Pelvis,Urinary System,District of Columbia,Other Races and Unknown combined,0,17.9,95.9,693972.0
27,29020,Kidney and Renal Pelvis,Urinary System,Florida,Asian or Pacific Islander,34,16.1,84.6,20984400.0
28,29020,Kidney and Renal Pelvis,Urinary System,Florida,Black or African American,448,16.1,84.6,20984400.0
29,29020,Kidney and Renal Pelvis,Urinary System,Florida,White,3333,16.1,84.6,20984400.0
30,29020,Kidney and Renal Pelvis,Urinary System,Florida,Other Races and Unknown combined,99,16.1,84.6,20984400.0
31,29020,Kidney and Renal Pelvis,Urinary System,Georgia,Asian or Pacific Islander,25,17.8,85.1,10429379.0
32,29020,Kidney and Renal Pelvis,Urinary System,Georgia,Black or African American,518,17.8,85.1,10429379.0
33,29020,Kidney and Renal Pelvis,Urinary System,Georgia,White,1245,17.8,85.1,10429379.0
34,29020,Kidney and Renal Pelvis,Urinary System,Hawaii,Asian or Pacific Islander,160,10.8,95.8,1427538.0
35,29020,Kidney and Renal Pelvis,Urinary System,Hawaii,White,82,10.8,95.8,1427538.0
36,29020,Kidney and Renal Pelvis,Urinary System,Idaho,Black or African American,0,15.2,88.2,1716943.0
37,29020,Kidney and Renal Pelvis,Urinary System,Idaho,White,288,15.2,88.2,1716943.0
38,29020,Kidney and Renal Pelvis,Urinary System,Illinois,Asian or Pacific Islander,60,14.0,92.5,12802023.0
39,29020,Kidney and Renal Pelvis,Urinary System,Illinois,Black or African American,397,14.0,92.5,12802023.0
40,29020,Kidney and Renal Pelvis,Urinary System,Illinois,White,2167,14.0,92.5,12802023.0
41,29020,Kidney and Renal Pelvis,Urinary System,Illinois,Other Races and Unknown combined,26,14.0,92.5,12802023.0
42,29020,Kidney and Renal Pelvis,Urinary System,Indiana,Black or African American,109,15.0,90.5,6666818.0
43,29020,Kidney and Renal Pelvis,Urinary System,Indiana,White,1304,15.0,90.5,6666818.0
44,29020,Kidney and Renal Pelvis,Urinary System,Iowa,Black or African American,22,12.3,95.0,3145711.0
45,29020,Kidney and Renal Pelvis,Urinary System,Iowa,White,694,12.3,95.0,3145711.0
46,29020,Kidney and Renal Pelvis,Urinary System,Kansas,Black or African American,37,13.3,90.1,2913123.0
47,29020,Kidney and Renal Pelvis,Urinary System,Kansas,White,569,13.3,90.1,2913123.0
48,29020,Kidney and Renal Pelvis,Urinary System,Kentucky,Black or African American,73,18.8,94.0,4454189.0
49,29020,Kidney and Renal Pelvis,Urinary System,Kentucky,White,994,18.8,94.0,4454189.0
50,29020,Kidney and Renal Pelvis,Urinary System,Louisiana,Black or African American,311,19.7,88.2,4684333.0
51,29020,Kidney and Renal Pelvis,Urinary System,Louisiana,White,770,19.7,88.2,4684333.0
52,29020,Kidney and Renal Pelvis,Urinary System,Maine,Asian or Pacific Islander,0,13.5,89.9,1335907.0
53,29020,Kidney and Renal Pelvis,Urinary System,Maine,White,304,13.5,89.9,1335907.0
54,29020,Kidney and Renal Pelvis,Urinary System,Maryland,Asian or Pacific Islander,21,9.9,93.0,6052177.0
55,29020,Kidney and Renal Pelvis,Urinary System,Maryland,Black or African American,296,9.9,93.0,6052177.0
56,29020,Kidney and Renal Pelvis,Urinary System,Maryland,White,718,9.9,93.0,6052177.0
57,29020,Kidney and Renal Pelvis,Urinary System,Massachusetts,American Indian or Alaska Native,0,11.4,97.0,6859819.0
58,29020,Kidney and Renal Pelvis,Urinary System,Massachusetts,Asian or Pacific Islander,34,11.4,97.0,6859819.0
59,29020,Kidney and Renal Pelvis,Urinary System,Massachusetts,Black or African American,88,11.4,97.0,6859819.0
60,29020,Kidney and Renal Pelvis,Urinary System,Massachusetts,White,1189,11.4,97.0,6859819.0
61,29020,Kidney and Renal Pelvis,Urinary System,Massachusetts,Other Races and Unknown combined,46,11.4,97.0,6859819.0
62,29020,Kidney and Renal Pelvis,Urinary System,Michigan,Asian or Pacific Islander,16,16.3,93.6,9962311.0
63,29020,Kidney and Renal Pelvis,Urinary System,Michigan,Black or African American,250,16.3,93.6,9962311.0
64,29020,Kidney and Renal Pelvis,Urinary System,Michigan,White,1525,16.3,93.6,9962311.0
65,29020,Kidney and Renal Pelvis,Urinary System,Minnesota,American Indian or Alaska Native,31,10.8,95.2,5576606.0
66,29020,Kidney and Renal Pelvis,Urinary System,Minnesota,Black or African American,48,10.8,95.2,5576606.0
67,29020,Kidney and Renal Pelvis,Urinary System,Minnesota,White,1004,10.8,95.2,5576606.0
68,29020,Kidney and Renal Pelvis,Urinary System,Minnesota,Other Races and Unknown combined,19,10.8,95.2,5576606.0
69,29020,Kidney and Renal Pelvis,Urinary System,Mississippi,Black or African American,210,22.3,86.0,2984100.0
70,29020,Kidney and Renal Pelvis,Urinary System,Mississippi,White,477,22.3,86.0,2984100.0
71,29020,Kidney and Renal Pelvis,Urinary System,Missouri,Black or African American,154,15.3,89.4,6113532.0
72,29020,Kidney and Renal Pelvis,Urinary System,Missouri,White,1204,15.3,89.4,6113532.0
73,29020,Kidney and Renal Pelvis,Urinary System,Montana,American Indian or Alaska Native,18,14.9,90.0,1050493.0
74,29020,Kidney and Renal Pelvis,Urinary System,Montana,White,188,14.9,90.0,1050493.0
75,29020,Kidney and Renal Pelvis,Urinary System,Nebraska,Black or African American,23,12.4,90.3,1920076.0
76,29020,Kidney and Renal Pelvis,Urinary System,Nebraska,White,367,12.4,90.3,1920076.0
77,29020,Kidney and Renal Pelvis,Urinary System,Nevada,Asian or Pacific Islander,31,14.9,86.9,2998039.0
78,29020,Kidney and Renal Pelvis,Urinary System,Nevada,Black or African American,40,14.9,86.9,2998039.0
79,29020,Kidney and Renal Pelvis,Urinary System,Nevada,White,401,14.9,86.9,2998039.0
80,29020,Kidney and Renal Pelvis,Urinary System,New Hampshire,White,221,8.5,92.8,1342795.0
81,29020,Kidney and Renal Pelvis,Urinary System,New Jersey,American Indian or Alaska Native,0,10.9,90.8,9005644.0
82,29020,Kidney and Renal Pelvis,Urinary System,New Jersey,Asian or Pacific Islander,64,10.9,90.8,9005644.0
83,29020,Kidney and Renal Pelvis,Urinary System,New Jersey,Black or African American,227,10.9,90.8,9005644.0
84,29020,Kidney and Renal Pelvis,Urinary System,New Jersey,White,1401,10.9,90.8,9005644.0
85,29020,Kidney and Renal Pelvis,Urinary System,New Jersey,Other Races and Unknown combined,40,10.9,90.8,9005644.0
86,29020,Kidney and Renal Pelvis,Urinary System,New Mexico,American Indian or Alaska Native,38,20.9,88.8,2088070.0
87,29020,Kidney and Renal Pelvis,Urinary System,New Mexico,Asian or Pacific Islander,0,20.9,88.8,2088070.0
88,29020,Kidney and Renal Pelvis,Urinary System,New Mexico,White,302,20.9,88.8,2088070.0
89,29020,Kidney and Renal Pelvis,Urinary System,New York,Asian or Pacific Islander,155,15.5,92.9,19849399.0
90,29020,Kidney and Renal Pelvis,Urinary System,New York,Black or African American,573,15.5,92.9,19849399.0
91,29020,Kidney and Renal Pelvis,Urinary System,New York,White,3078,15.5,92.9,19849399.0
92,29020,Kidney and Renal Pelvis,Urinary System,New York,Other Races and Unknown combined,83,15.5,92.9,19849399.0
93,29020,Kidney and Renal Pelvis,Urinary System,North Carolina,American Indian or Alaska Native,22,16.8,87.8,10273419.0
94,29020,Kidney and Renal Pelvis,Urinary System,North Carolina,Black or African American,452,16.8,87.8,10273419.0
95,29020,Kidney and Renal Pelvis,Urinary System,North Carolina,White,1431,16.8,87.8,10273419.0
96,29020,Kidney and Renal Pelvis,Urinary System,North Carolina,Other Races and Unknown combined,32,16.8,87.8,10273419.0
97,29020,Kidney and Renal Pelvis,Urinary System,North Dakota,Asian or Pacific Islander,0,11.2,92.4,755393.0
98,29020,Kidney and Renal Pelvis,Urinary System,North Dakota,Black or African American,0,11.2,92.4,755393.0
99,29020,Kidney and Renal Pelvis,Urinary System,North Dakota,White,132,11.2,92.4,755393.0
100,29020,Kidney and Renal Pelvis,Urinary System,Ohio,Black or African American,293,15.4,93.3,11658609.0
101,29020,Kidney and Renal Pelvis,Urinary System,Ohio,White,2121,15.4,93.3,11658609.0
102,29020,Kidney and Renal Pelvis,Urinary System,Oklahoma,American Indian or Alaska Native,115,16.5,84.0,3930864.0
103,29020,Kidney and Renal Pelvis,Urinary System,Oklahoma,Black or African American,62,16.5,84.0,3930864.0
104,29020,Kidney and Renal Pelvis,Urinary System,Oklahoma,White,740,16.5,84.0,3930864.0
105,29020,Kidney and Renal Pelvis,Urinary System,Oregon,White,685,15.7,92.6,4142776.0
106,29020,Kidney and Renal Pelvis,Urinary System,Pennsylvania,Asian or Pacific Islander,20,13.3,93.2,12805537.0
107,29020,Kidney and Renal Pelvis,Urinary System,Pennsylvania,Black or African American,315,13.3,93.2,12805537.0
108,29020,Kidney and Renal Pelvis,Urinary System,Pennsylvania,White,2460,13.3,93.2,12805537.0
109,29020,Kidney and Renal Pelvis,Urinary System,Pennsylvania,Other Races and Unknown combined,28,13.3,93.2,12805537.0
110,29020,Kidney and Renal Pelvis,Urinary System,Rhode Island,American Indian or Alaska Native,0,13.8,94.9,1059639.0
111,29020,Kidney and Renal Pelvis,Urinary System,Rhode Island,White,184,13.8,94.9,1059639.0
112,29020,Kidney and Renal Pelvis,Urinary System,South Carolina,Black or African American,261,17.2,87.9,5024369.0
113,29020,Kidney and Renal Pelvis,Urinary System,South Carolina,White,793,17.2,87.9,5024369.0
114,29020,Kidney and Renal Pelvis,Urinary System,South Dakota,White,135,14.0,89.6,869666.0
115,29020,Kidney and Renal Pelvis,Urinary System,South Dakota,Other Races and Unknown combined,0,14.0,89.6,869666.0
116,29020,Kidney and Renal Pelvis,Urinary System,Tennessee,Black or African American,205,17.2,89.4,6715984.0
117,29020,Kidney and Renal Pelvis,Urinary System,Tennessee,White,1199,17.2,89.4,6715984.0
118,29020,Kidney and Renal Pelvis,Urinary System,Texas,American Indian or Alaska Native,18,16.7,81.4,28304596.0
119,29020,Kidney and Renal Pelvis,Urinary System,Texas,Asian or Pacific Islander,71,16.7,81.4,28304596.0
120,29020,Kidney and Renal Pelvis,Urinary System,Texas,Black or African American,578,16.7,81.4,28304596.0
121,29020,Kidney and Renal Pelvis,Urinary System,Texas,White,4305,16.7,81.4,28304596.0
122,29020,Kidney and Renal Pelvis,Urinary System,Texas,Other Races and Unknown combined,41,16.7,81.4,28304596.0
123,29020,Kidney and Renal Pelvis,Urinary System,Utah,White,343,11.7,90.3,3101833.0
124,29020,Kidney and Renal Pelvis,Urinary System,Vermont,White,101,11.6,95.3,623657.0
125,29020,Kidney and Renal Pelvis,Urinary System,Vermont,Other Races and Unknown combined,0,11.6,95.3,623657.0
126,29020,Kidney and Renal Pelvis,Urinary System,Virginia,Asian or Pacific Islander,39,11.4,90.1,8470020.0
127,29020,Kidney and Renal Pelvis,Urinary System,Virginia,Black or African American,365,11.4,90.1,8470020.0
128,29020,Kidney and Renal Pelvis,Urinary System,Virginia,White,1029,11.4,90.1,8470020.0
129,29020,Kidney and Renal Pelvis,Urinary System,Virginia,Other Races and Unknown combined,20,11.4,90.1,8470020.0
130,29020,Kidney and Renal Pelvis,Urinary System,Washington,American Indian or Alaska Native,20,12.7,93.1,7405743.0
131,29020,Kidney and Renal Pelvis,Urinary System,Washington,Asian or Pacific Islander,63,12.7,93.1,7405743.0
132,29020,Kidney and Renal Pelvis,Urinary System,Washington,Black or African American,50,12.7,93.1,7405743.0
133,29020,Kidney and Renal Pelvis,Urinary System,Washington,White,1076,12.7,93.1,7405743.0
134,29020,Kidney and Renal Pelvis,Urinary System,West Virginia,American Indian or Alaska Native,0,17.7,93.5,1815857.0
135,29020,Kidney and Renal Pelvis,Urinary System,West Virginia,White,489,17.7,93.5,1815857.0
136,29020,Kidney and Renal Pelvis,Urinary System,West Virginia,Other Races and Unknown combined,0,17.7,93.5,1815857.0
137,29020,Kidney and Renal Pelvis,Urinary System,Wisconsin,Black or African American,83,12.7,93.7,5795483.0
138,29020,Kidney and Renal Pelvis,Urinary System,Wisconsin,White,1111,12.7,93.7,5795483.0
139,29020,Kidney and Renal Pelvis,Urinary System,Wyoming,Asian or Pacific Islander,0,11.6,86.6,579315.0
140,29020,Kidney and Renal Pelvis,Urinary System,Wyoming,Black or African American,0,11.6,86.6,579315.0
141,29020,Kidney and Renal Pelvis,Urinary System,Wyoming,White,84,11.6,86.6,579315.0
142,29020,Kidney and Renal Pelvis,Urinary System,Wyoming,Other Races and Unknown combined,0,11.6,86.6,579315.0
