,Cancer_id,Cancer_type,Cancer_category,State_name,Race_name,Count,Percentage_population_below_poverty_in_state,Percentage_population_insured_in_state,State_population
0,37000,Miscellaneous,Miscellaneous,Alabama,Black or African American,190,18.4,89.2,4874747.0
1,37000,Miscellaneous,Miscellaneous,Alabama,White,799,18.4,89.2,4874747.0
2,37000,Miscellaneous,Miscellaneous,Alabama,Other Races and Unknown combined,17,18.4,89.2,4874747.0
3,37000,Miscellaneous,Miscellaneous,Alaska,White,54,10.1,84.5,739795.0
4,37000,Miscellaneous,Miscellaneous,Alaska,Other Races and Unknown combined,0,10.1,84.5,739795.0
5,37000,Miscellaneous,Miscellaneous,Arizona,American Indian or Alaska Native,24,17.7,88.1,7016270.0
6,37000,Miscellaneous,Miscellaneous,Arizona,Asian or Pacific Islander,17,17.7,88.1,7016270.0
7,37000,Miscellaneous,Miscellaneous,Arizona,Black or African American,23,17.7,88.1,7016270.0
8,37000,Miscellaneous,Miscellaneous,Arizona,White,1108,17.7,88.1,7016270.0
9,37000,Miscellaneous,Miscellaneous,Arizona,Other Races and Unknown combined,26,17.7,88.1,7016270.0
10,37000,Miscellaneous,Miscellaneous,Arkansas,Black or African American,76,18.8,90.6,3004279.0
11,37000,Miscellaneous,Miscellaneous,Arkansas,White,488,18.8,90.6,3004279.0
12,37000,Miscellaneous,Miscellaneous,California,American Indian or Alaska Native,37,15.8,91.6,39536653.0
13,37000,Miscellaneous,Miscellaneous,California,Asian or Pacific Islander,582,15.8,91.6,39536653.0
14,37000,Miscellaneous,Miscellaneous,California,Black or African American,373,15.8,91.6,39536653.0
15,37000,Miscellaneous,Miscellaneous,California,White,4647,15.8,91.6,39536653.0
16,37000,Miscellaneous,Miscellaneous,California,Other Races and Unknown combined,112,15.8,91.6,39536653.0
17,37000,Miscellaneous,Miscellaneous,Colorado,Asian or Pacific Islander,17,12.2,91.4,5607154.0
18,37000,Miscellaneous,Miscellaneous,Colorado,Black or African American,22,12.2,91.4,5607154.0
19,37000,Miscellaneous,Miscellaneous,Colorado,White,642,12.2,91.4,5607154.0
20,37000,Miscellaneous,Miscellaneous,Connecticut,American Indian or Alaska Native,0,10.4,94.2,3588184.0
21,37000,Miscellaneous,Miscellaneous,Connecticut,Black or African American,50,10.4,94.2,3588184.0
22,37000,Miscellaneous,Miscellaneous,Connecticut,White,573,10.4,94.2,3588184.0
23,37000,Miscellaneous,Miscellaneous,Connecticut,Other Races and Unknown combined,28,10.4,94.2,3588184.0
24,37000,Miscellaneous,Miscellaneous,Delaware,American Indian or Alaska Native,0,12.0,93.3,961939.0
25,37000,Miscellaneous,Miscellaneous,Delaware,Black or African American,18,12.0,93.3,961939.0
26,37000,Miscellaneous,Miscellaneous,Delaware,White,138,12.0,93.3,961939.0
27,37000,Miscellaneous,Miscellaneous,District of Columbia,American Indian or Alaska Native,0,17.9,95.9,693972.0
28,37000,Miscellaneous,Miscellaneous,District of Columbia,Black or African American,62,17.9,95.9,693972.0
29,37000,Miscellaneous,Miscellaneous,District of Columbia,White,20,17.9,95.9,693972.0
30,37000,Miscellaneous,Miscellaneous,Florida,Asian or Pacific Islander,42,16.1,84.6,20984400.0
31,37000,Miscellaneous,Miscellaneous,Florida,Black or African American,421,16.1,84.6,20984400.0
32,37000,Miscellaneous,Miscellaneous,Florida,White,3804,16.1,84.6,20984400.0
33,37000,Miscellaneous,Miscellaneous,Florida,Other Races and Unknown combined,86,16.1,84.6,20984400.0
34,37000,Miscellaneous,Miscellaneous,Georgia,American Indian or Alaska Native,0,17.8,85.1,10429379.0
35,37000,Miscellaneous,Miscellaneous,Georgia,Asian or Pacific Islander,33,17.8,85.1,10429379.0
36,37000,Miscellaneous,Miscellaneous,Georgia,Black or African American,410,17.8,85.1,10429379.0
37,37000,Miscellaneous,Miscellaneous,Georgia,White,1233,17.8,85.1,10429379.0
38,37000,Miscellaneous,Miscellaneous,Hawaii,Asian or Pacific Islander,129,10.8,95.8,1427538.0
39,37000,Miscellaneous,Miscellaneous,Hawaii,White,69,10.8,95.8,1427538.0
40,37000,Miscellaneous,Miscellaneous,Idaho,American Indian or Alaska Native,0,15.2,88.2,1716943.0
41,37000,Miscellaneous,Miscellaneous,Idaho,White,260,15.2,88.2,1716943.0
42,37000,Miscellaneous,Miscellaneous,Illinois,Asian or Pacific Islander,46,14.0,92.5,12802023.0
43,37000,Miscellaneous,Miscellaneous,Illinois,Black or African American,235,14.0,92.5,12802023.0
44,37000,Miscellaneous,Miscellaneous,Illinois,White,1682,14.0,92.5,12802023.0
45,37000,Miscellaneous,Miscellaneous,Illinois,Other Races and Unknown combined,35,14.0,92.5,12802023.0
46,37000,Miscellaneous,Miscellaneous,Indiana,Black or African American,74,15.0,90.5,6666818.0
47,37000,Miscellaneous,Miscellaneous,Indiana,White,962,15.0,90.5,6666818.0
48,37000,Miscellaneous,Miscellaneous,Iowa,American Indian or Alaska Native,0,12.3,95.0,3145711.0
49,37000,Miscellaneous,Miscellaneous,Iowa,White,544,12.3,95.0,3145711.0
50,37000,Miscellaneous,Miscellaneous,Kansas,Black or African American,21,13.3,90.1,2913123.0
