,Cancer_id,Cancer_type,Cancer_category,State_name,Race_name,Count,Percentage_population_below_poverty_in_state,Percentage_population_insured_in_state,State_population
0,28010,Prostate,Male Genital System,Alabama,Black or African American,1052,18.4,89.2,4874747.0
1,28010,Prostate,Male Genital System,Alabama,White,2197,18.4,89.2,4874747.0
2,28010,Prostate,Male Genital System,Alabama,Other Races and Unknown combined,153,18.4,89.2,4874747.0
3,28010,Prostate,Male Genital System,Alaska,American Indian or Alaska Native,19,10.1,84.5,739795.0
4,28010,Prostate,Male Genital System,Alaska,White,195,10.1,84.5,739795.0
5,28010,Prostate,Male Genital System,Arizona,American Indian or Alaska Native,45,17.7,88.1,7016270.0
6,28010,Prostate,Male Genital System,Arizona,Asian or Pacific Islander,34,17.7,88.1,7016270.0
7,28010,Prostate,Male Genital System,Arizona,Black or African American,135,17.7,88.1,7016270.0
8,28010,Prostate,Male Genital System,Arizona,White,2717,17.7,88.1,7016270.0
9,28010,Prostate,Male Genital System,Arizona,Other Races and Unknown combined,308,17.7,88.1,7016270.0
10,28010,Prostate,Male Genital System,Arkansas,Black or African American,391,18.8,90.6,3004279.0
11,28010,Prostate,Male Genital System,Arkansas,White,1610,18.8,90.6,3004279.0
12,28010,Prostate,Male Genital System,Arkansas,Other Races and Unknown combined,54,18.8,90.6,3004279.0
13,28010,Prostate,Male Genital System,California,American Indian or Alaska Native,79,15.8,91.6,39536653.0
14,28010,Prostate,Male Genital System,California,Asian or Pacific Islander,1401,15.8,91.6,39536653.0
15,28010,Prostate,Male Genital System,California,Black or African American,1612,15.8,91.6,39536653.0
16,28010,Prostate,Male Genital System,California,White,13147,15.8,91.6,39536653.0
17,28010,Prostate,Male Genital System,California,Other Races and Unknown combined,1424,15.8,91.6,39536653.0
18,28010,Prostate,Male Genital System,Colorado,Asian or Pacific Islander,20,12.2,91.4,5607154.0
19,28010,Prostate,Male Genital System,Colorado,Black or African American,153,12.2,91.4,5607154.0
20,28010,Prostate,Male Genital System,Colorado,White,2183,12.2,91.4,5607154.0
21,28010,Prostate,Male Genital System,Colorado,Other Races and Unknown combined,95,12.2,91.4,5607154.0
22,28010,Prostate,Male Genital System,Connecticut,Asian or Pacific Islander,16,10.4,94.2,3588184.0
23,28010,Prostate,Male Genital System,Connecticut,Black or African American,243,10.4,94.2,3588184.0
24,28010,Prostate,Male Genital System,Connecticut,White,1999,10.4,94.2,3588184.0
25,28010,Prostate,Male Genital System,Connecticut,Other Races and Unknown combined,121,10.4,94.2,3588184.0
26,28010,Prostate,Male Genital System,Delaware,Black or African American,199,12.0,93.3,961939.0
27,28010,Prostate,Male Genital System,Delaware,White,530,12.0,93.3,961939.0
28,28010,Prostate,Male Genital System,District of Columbia,Black or African American,204,17.9,95.9,693972.0
29,28010,Prostate,Male Genital System,District of Columbia,White,68,17.9,95.9,693972.0
30,28010,Prostate,Male Genital System,Florida,Asian or Pacific Islander,99,16.1,84.6,20984400.0
31,28010,Prostate,Male Genital System,Florida,Black or African American,1887,16.1,84.6,20984400.0
32,28010,Prostate,Male Genital System,Florida,White,8646,16.1,84.6,20984400.0
33,28010,Prostate,Male Genital System,Florida,Other Races and Unknown combined,229,16.1,84.6,20984400.0
34,28010,Prostate,Male Genital System,Georgia,Asian or Pacific Islander,57,17.8,85.1,10429379.0
35,28010,Prostate,Male Genital System,Georgia,Black or African American,2338,17.8,85.1,10429379.0
36,28010,Prostate,Male Genital System,Georgia,White,3622,17.8,85.1,10429379.0
37,28010,Prostate,Male Genital System,Georgia,Other Races and Unknown combined,42,17.8,85.1,10429379.0
38,28010,Prostate,Male Genital System,Hawaii,Asian or Pacific Islander,463,10.8,95.8,1427538.0
39,28010,Prostate,Male Genital System,Hawaii,Black or African American,27,10.8,95.8,1427538.0
40,28010,Prostate,Male Genital System,Hawaii,White,254,10.8,95.8,1427538.0
41,28010,Prostate,Male Genital System,Idaho,White,878,15.2,88.2,1716943.0
42,28010,Prostate,Male Genital System,Idaho,Other Races and Unknown combined,53,15.2,88.2,1716943.0
43,28010,Prostate,Male Genital System,Illinois,Asian or Pacific Islander,164,14.0,92.5,12802023.0
44,28010,Prostate,Male Genital System,Illinois,Black or African American,1481,14.0,92.5,12802023.0
45,28010,Prostate,Male Genital System,Illinois,White,5733,14.0,92.5,12802023.0
46,28010,Prostate,Male Genital System,Illinois,Other Races and Unknown combined,274,14.0,92.5,12802023.0
47,28010,Prostate,Male Genital System,Indiana,Black or African American,317,15.0,90.5,6666818.0
48,28010,Prostate,Male Genital System,Indiana,White,2724,15.0,90.5,6666818.0
49,28010,Prostate,Male Genital System,Indiana,Other Races and Unknown combined,51,15.0,90.5,6666818.0
50,28010,Prostate,Male Genital System,Iowa,Black or African American,63,12.3,95.0,3145711.0
51,28010,Prostate,Male Genital System,Iowa,White,1880,12.3,95.0,3145711.0
52,28010,Prostate,Male Genital System,Iowa,Other Races and Unknown combined,21,12.3,95.0,3145711.0
53,28010,Prostate,Male Genital System,Kansas,Black or African American,122,13.3,90.1,2913123.0
54,28010,Prostate,Male Genital System,Kansas,White,1453,13.3,90.1,2913123.0
55,28010,Prostate,Male Genital System,Kansas,Other Races and Unknown combined,81,13.3,90.1,2913123.0
56,28010,Prostate,Male Genital System,Kentucky,American Indian or Alaska Native,0,18.8,94.0,4454189.0
57,28010,Prostate,Male Genital System,Kentucky,Black or African American,202,18.8,94.0,4454189.0
58,28010,Prostate,Male Genital System,Kentucky,White,2015,18.8,94.0,4454189.0
59,28010,Prostate,Male Genital System,Kentucky,Other Races and Unknown combined,375,18.8,94.0,4454189.0
60,28010,Prostate,Male Genital System,Louisiana,Asian or Pacific Islander,18,19.7,88.2,4684333.0
61,28010,Prostate,Male Genital System,Louisiana,Black or African American,1152,19.7,88.2,4684333.0
62,28010,Prostate,Male Genital System,Louisiana,White,2052,19.7,88.2,4684333.0
63,28010,Prostate,Male Genital System,Louisiana,Other Races and Unknown combined,41,19.7,88.2,4684333.0
64,28010,Prostate,Male Genital System,Maine,White,837,13.5,89.9,1335907.0
65,28010,Prostate,Male Genital System,Maryland,Asian or Pacific Islander,133,9.9,93.0,6052177.0
66,28010,Prostate,Male Genital System,Maryland,Black or African American,1551,9.9,93.0,6052177.0
67,28010,Prostate,Male Genital System,Maryland,White,2239,9.9,93.0,6052177.0
68,28010,Prostate,Male Genital System,Maryland,Other Races and Unknown combined,55,9.9,93.0,6052177.0
69,28010,Prostate,Male Genital System,Massachusetts,Asian or Pacific Islander,87,11.4,97.0,6859819.0
70,28010,Prostate,Male Genital System,Massachusetts,Black or African American,353,11.4,97.0,6859819.0
71,28010,Prostate,Male Genital System,Massachusetts,White,3336,11.4,97.0,6859819.0
72,28010,Prostate,Male Genital System,Massachusetts,Other Races and Unknown combined,192,11.4,97.0,6859819.0
73,28010,Prostate,Male Genital System,Michigan,Asian or Pacific Islander,49,16.3,93.6,9962311.0
74,28010,Prostate,Male Genital System,Michigan,Black or African American,1001,16.3,93.6,9962311.0
75,28010,Prostate,Male Genital System,Michigan,White,5109,16.3,93.6,9962311.0
76,28010,Prostate,Male Genital System,Michigan,Other Races and Unknown combined,132,16.3,93.6,9962311.0
77,28010,Prostate,Male Genital System,Minnesota,American Indian or Alaska Native,26,10.8,95.2,5576606.0
78,28010,Prostate,Male Genital System,Minnesota,Asian or Pacific Islander,24,10.8,95.2,5576606.0
79,28010,Prostate,Male Genital System,Minnesota,Black or African American,161,10.8,95.2,5576606.0
80,28010,Prostate,Male Genital System,Minnesota,White,3217,10.8,95.2,5576606.0
81,28010,Prostate,Male Genital System,Minnesota,Other Races and Unknown combined,174,10.8,95.2,5576606.0
82,28010,Prostate,Male Genital System,Mississippi,Black or African American,916,22.3,86.0,2984100.0
