,Cancer_id,Cancer_type,Cancer_category,State_name,Race_name,Count,Percentage_population_below_poverty_in_state,Percentage_population_insured_in_state,State_population
0,21041,Colon and Rectum,Digestive System,Alabama,Asian or Pacific Islander,16,18.4,89.2,4874747.0
1,21041,Colon and Rectum,Digestive System,Alabama,Black or African American,587,18.4,89.2,4874747.0
2,21041,Colon and Rectum,Digestive System,Alabama,White,1837,18.4,89.2,4874747.0
3,21041,Colon and Rectum,Digestive System,Alabama,Other Races and Unknown combined,47,18.4,89.2,4874747.0
4,21041,Colon and Rectum,Digestive System,Alaska,American Indian or Alaska Native,83,10.1,84.5,739795.0
5,21041,Colon and Rectum,Digestive System,Alaska,White,196,10.1,84.5,739795.0
6,21041,Colon and Rectum,Digestive System,Arizona,American Indian or Alaska Native,57,17.7,88.1,7016270.0
7,21041,Colon and Rectum,Digestive System,Arizona,Asian or Pacific Islander,48,17.7,88.1,7016270.0
8,21041,Colon and Rectum,Digestive System,Arizona,Black or African American,76,17.7,88.1,7016270.0
9,21041,Colon and Rectum,Digestive System,Arizona,White,2360,17.7,88.1,7016270.0
10,21041,Colon and Rectum,Digestive System,Arizona,Other Races and Unknown combined,42,17.7,88.1,7016270.0
11,21041,Colon and Rectum,Digestive System,Arkansas,Asian or Pacific Islander,16,18.8,90.6,3004279.0
12,21041,Colon and Rectum,Digestive System,Arkansas,Black or African American,217,18.8,90.6,3004279.0
13,21041,Colon and Rectum,Digestive System,Arkansas,White,1316,18.8,90.6,3004279.0
14,21041,Colon and Rectum,Digestive System,Arkansas,Other Races and Unknown combined,22,18.8,90.6,3004279.0
15,21041,Colon and Rectum,Digestive System,California,American Indian or Alaska Native,93,15.8,91.6,39536653.0
16,21041,Colon and Rectum,Digestive System,California,Asian or Pacific Islander,2095,15.8,91.6,39536653.0
17,21041,Colon and Rectum,Digestive System,California,Black or African American,1016,15.8,91.6,39536653.0
18,21041,Colon and Rectum,Digestive System,California,White,11155,15.8,91.6,39536653.0
19,21041,Colon and Rectum,Digestive System,California,Other Races and Unknown combined,261,15.8,91.6,39536653.0
20,21041,Colon and Rectum,Digestive System,Colorado,Asian or Pacific Islander,62,12.2,91.4,5607154.0
21,21041,Colon and Rectum,Digestive System,Colorado,Black or African American,70,12.2,91.4,5607154.0
22,21041,Colon and Rectum,Digestive System,Colorado,White,1701,12.2,91.4,5607154.0
23,21041,Colon and Rectum,Digestive System,Colorado,Other Races and Unknown combined,44,12.2,91.4,5607154.0
24,21041,Colon and Rectum,Digestive System,Connecticut,Asian or Pacific Islander,22,10.4,94.2,3588184.0
25,21041,Colon and Rectum,Digestive System,Connecticut,Black or African American,136,10.4,94.2,3588184.0
26,21041,Colon and Rectum,Digestive System,Connecticut,White,1370,10.4,94.2,3588184.0
27,21041,Colon and Rectum,Digestive System,Connecticut,Other Races and Unknown combined,49,10.4,94.2,3588184.0
28,21041,Colon and Rectum,Digestive System,Delaware,American Indian or Alaska Native,0,12.0,93.3,961939.0
29,21041,Colon and Rectum,Digestive System,Delaware,Black or African American,98,12.0,93.3,961939.0
30,21041,Colon and Rectum,Digestive System,Delaware,White,354,12.0,93.3,961939.0
31,21041,Colon and Rectum,Digestive System,District of Columbia,American Indian or Alaska Native,0,17.9,95.9,693972.0
32,21041,Colon and Rectum,Digestive System,District of Columbia,Black or African American,150,17.9,95.9,693972.0
33,21041,Colon and Rectum,Digestive System,District of Columbia,White,35,17.9,95.9,693972.0
34,21041,Colon and Rectum,Digestive System,Florida,Asian or Pacific Islander,120,16.1,84.6,20984400.0
35,21041,Colon and Rectum,Digestive System,Florida,Black or African American,1206,16.1,84.6,20984400.0
36,21041,Colon and Rectum,Digestive System,Florida,White,8108,16.1,84.6,20984400.0
37,21041,Colon and Rectum,Digestive System,Florida,Other Races and Unknown combined,248,16.1,84.6,20984400.0
38,21041,Colon and Rectum,Digestive System,Georgia,Asian or Pacific Islander,118,17.8,85.1,10429379.0
39,21041,Colon and Rectum,Digestive System,Georgia,Black or African American,1274,17.8,85.1,10429379.0
40,21041,Colon and Rectum,Digestive System,Georgia,White,3064,17.8,85.1,10429379.0
41,21041,Colon and Rectum,Digestive System,Hawaii,Asian or Pacific Islander,477,10.8,95.8,1427538.0
42,21041,Colon and Rectum,Digestive System,Hawaii,White,212,10.8,95.8,1427538.0
43,21041,Colon and Rectum,Digestive System,Idaho,White,626,15.2,88.2,1716943.0
44,21041,Colon and Rectum,Digestive System,Illinois,Asian or Pacific Islander,197,14.0,92.5,12802023.0
45,21041,Colon and Rectum,Digestive System,Illinois,Black or African American,927,14.0,92.5,12802023.0
46,21041,Colon and Rectum,Digestive System,Illinois,White,5050,14.0,92.5,12802023.0
47,21041,Colon and Rectum,Digestive System,Illinois,Other Races and Unknown combined,70,14.0,92.5,12802023.0
48,21041,Colon and Rectum,Digestive System,Indiana,Asian or Pacific Islander,18,15.0,90.5,6666818.0
49,21041,Colon and Rectum,Digestive System,Indiana,Black or African American,230,15.0,90.5,6666818.0
50,21041,Colon and Rectum,Digestive System,Indiana,White,2870,15.0,90.5,6666818.0
51,21041,Colon and Rectum,Digestive System,Iowa,Asian or Pacific Islander,18,12.3,95.0,3145711.0
52,21041,Colon and Rectum,Digestive System,Iowa,Black or African American,30,12.3,95.0,3145711.0
53,21041,Colon and Rectum,Digestive System,Iowa,White,1622,12.3,95.0,3145711.0
54,21041,Colon and Rectum,Digestive System,Kansas,Black or African American,54,13.3,90.1,2913123.0
55,21041,Colon and Rectum,Digestive System,Kansas,White,1163,13.3,90.1,2913123.0
56,21041,Colon and Rectum,Digestive System,Kansas,Other Races and Unknown combined,21,13.3,90.1,2913123.0
57,21041,Colon and Rectum,Digestive System,Kentucky,Black or African American,163,18.8,94.0,4454189.0
58,21041,Colon and Rectum,Digestive System,Kentucky,White,2303,18.8,94.0,4454189.0
59,21041,Colon and Rectum,Digestive System,Kentucky,Other Races and Unknown combined,35,18.8,94.0,4454189.0
60,21041,Colon and Rectum,Digestive System,Louisiana,Asian or Pacific Islander,24,19.7,88.2,4684333.0
61,21041,Colon and Rectum,Digestive System,Louisiana,Black or African American,750,19.7,88.2,4684333.0
62,21041,Colon and Rectum,Digestive System,Louisiana,White,1526,19.7,88.2,4684333.0
63,21041,Colon and Rectum,Digestive System,Maine,White,652,13.5,89.9,1335907.0
64,21041,Colon and Rectum,Digestive System,Maryland,Asian or Pacific Islander,100,9.9,93.0,6052177.0
65,21041,Colon and Rectum,Digestive System,Maryland,Black or African American,710,9.9,93.0,6052177.0
66,21041,Colon and Rectum,Digestive System,Maryland,White,1595,9.9,93.0,6052177.0
67,21041,Colon and Rectum,Digestive System,Maryland,Other Races and Unknown combined,34,9.9,93.0,6052177.0
68,21041,Colon and Rectum,Digestive System,Massachusetts,Asian or Pacific Islander,103,11.4,97.0,6859819.0
69,21041,Colon and Rectum,Digestive System,Massachusetts,Black or African American,199,11.4,97.0,6859819.0
70,21041,Colon and Rectum,Digestive System,Massachusetts,White,2537,11.4,97.0,6859819.0
71,21041,Colon and Rectum,Digestive System,Massachusetts,Other Races and Unknown combined,31,11.4,97.0,6859819.0
72,21041,Colon and Rectum,Digestive System,Michigan,American Indian or Alaska Native,33,16.3,93.6,9962311.0
73,21041,Colon and Rectum,Digestive System,Michigan,Asian or Pacific Islander,44,16.3,93.6,9962311.0
74,21041,Colon and Rectum,Digestive System,Michigan,Black or African American,638,16.3,93.6,9962311.0
75,21041,Colon and Rectum,Digestive System,Michigan,White,3534,16.3,93.6,9962311.0
76,21041,Colon and Rectum,Digestive System,Michigan,Other Races and Unknown combined,25,16.3,93.6,9962311.0
77,21041,Colon and Rectum,Digestive System,Minnesota,American Indian or Alaska Native,37,10.8,95.2,5576606.0
78,21041,Colon and Rectum,Digestive System,Minnesota,Asian or Pacific Islander,56,10.8,95.2,5576606.0
79,21041,Colon and Rectum,Digestive System,Minnesota,Black or African American,89,10.8,95.2,5576606.0
80,21041,Colon and Rectum,Digestive System,Minnesota,White,2156,10.8,95.2,5576606.0
81,21041,Colon and Rectum,Digestive System,Minnesota,Other Races and Unknown combined,70,10.8,95.2,5576606.0
82,21041,Colon and Rectum,Digestive System,Mississippi,Black or African American,610,22.3,86.0,2984100.0
83,21041,Colon and Rectum,Digestive System,Mississippi,White,1030,22.3,86.0,2984100.0
84,21041,Colon and Rectum,Digestive System,Missouri,Asian or Pacific Islander,29,15.3,89.4,6113532.0
85,21041,Colon and Rectum,Digestive System,Missouri,Black or African American,309,15.3,89.4,6113532.0
86,21041,Colon and Rectum,Digestive System,Missouri,White,2534,15.3,89.4,6113532.0
87,21041,Colon and Rectum,Digestive System,Missouri,Other Races and Unknown combined,21,15.3,89.4,6113532.0
88,21041,Colon and Rectum,Digestive System,Montana,American Indian or Alaska Native,29,14.9,90.0,1050493.0
89,21041,Colon and Rectum,Digestive System,Montana,White,471,14.9,90.0,1050493.0
90,21041,Colon and Rectum,Digestive System,Montana,Other Races and Unknown combined,0,14.9,90.0,1050493.0
91,21041,Colon and Rectum,Digestive System,Nebraska,Black or African American,31,12.4,90.3,1920076.0
92,21041,Colon and Rectum,Digestive System,Nebraska,White,868,12.4,90.3,1920076.0
93,21041,Colon and Rectum,Digestive System,Nevada,American Indian or Alaska Native,16,14.9,86.9,2998039.0
94,21041,Colon and Rectum,Digestive System,Nevada,Asian or Pacific Islander,75,14.9,86.9,2998039.0
95,21041,Colon and Rectum,Digestive System,Nevada,Black or African American,84,14.9,86.9,2998039.0
96,21041,Colon and Rectum,Digestive System,Nevada,White,851,14.9,86.9,2998039.0
97,21041,Colon and Rectum,Digestive System,Nevada,Other Races and Unknown combined,29,14.9,86.9,2998039.0
98,21041,Colon and Rectum,Digestive System,New Hampshire,White,573,8.5,92.8,1342795.0
99,21041,Colon and Rectum,Digestive System,New Jersey,Asian or Pacific Islander,202,10.9,90.8,9005644.0
100,21041,Colon and Rectum,Digestive System,New Jersey,Black or African American,587,10.9,90.8,9005644.0
101,21041,Colon and Rectum,Digestive System,New Jersey,White,3430,10.9,90.8,9005644.0
102,21041,Colon and Rectum,Digestive System,New Jersey,Other Races and Unknown combined,94,10.9,90.8,9005644.0
103,21041,Colon and Rectum,Digestive System,New Mexico,American Indian or Alaska Native,77,20.9,88.8,2088070.0
104,21041,Colon and Rectum,Digestive System,New Mexico,White,690,20.9,88.8,2088070.0
105,21041,Colon and Rectum,Digestive System,New York,Asian or Pacific Islander,550,15.5,92.9,19849399.0
106,21041,Colon and Rectum,Digestive System,New York,Black or African American,1403,15.5,92.9,19849399.0
107,21041,Colon and Rectum,Digestive System,New York,White,6838,15.5,92.9,19849399.0
108,21041,Colon and Rectum,Digestive System,New York,Other Races and Unknown combined,148,15.5,92.9,19849399.0
109,21041,Colon and Rectum,Digestive System,North Carolina,American Indian or Alaska Native,36,16.8,87.8,10273419.0
110,21041,Colon and Rectum,Digestive System,North Carolina,Asian or Pacific Islander,46,16.8,87.8,10273419.0
111,21041,Colon and Rectum,Digestive System,North Carolina,Black or African American,954,16.8,87.8,10273419.0
112,21041,Colon and Rectum,Digestive System,North Carolina,White,3229,16.8,87.8,10273419.0
113,21041,Colon and Rectum,Digestive System,North Carolina,Other Races and Unknown combined,112,16.8,87.8,10273419.0
114,21041,Colon and Rectum,Digestive System,North Dakota,White,330,11.2,92.4,755393.0
115,21041,Colon and Rectum,Digestive System,Ohio,Asian or Pacific Islander,53,15.4,93.3,11658609.0
116,21041,Colon and Rectum,Digestive System,Ohio,Black or African American,566,15.4,93.3,11658609.0
117,21041,Colon and Rectum,Digestive System,Ohio,White,5168,15.4,93.3,11658609.0
118,21041,Colon and Rectum,Digestive System,Ohio,Other Races and Unknown combined,203,15.4,93.3,11658609.0
119,21041,Colon and Rectum,Digestive System,Oklahoma,American Indian or Alaska Native,194,16.5,84.0,3930864.0
120,21041,Colon and Rectum,Digestive System,Oklahoma,Black or African American,129,16.5,84.0,3930864.0
121,21041,Colon and Rectum,Digestive System,Oklahoma,White,1444,16.5,84.0,3930864.0
122,21041,Colon and Rectum,Digestive System,Oklahoma,Other Races and Unknown combined,19,16.5,84.0,3930864.0
123,21041,Colon and Rectum,Digestive System,Oregon,American Indian or Alaska Native,23,15.7,92.6,4142776.0
124,21041,Colon and Rectum,Digestive System,Oregon,Asian or Pacific Islander,58,15.7,92.6,4142776.0
125,21041,Colon and Rectum,Digestive System,Oregon,Black or African American,19,15.7,92.6,4142776.0
126,21041,Colon and Rectum,Digestive System,Oregon,White,1452,15.7,92.6,4142776.0
127,21041,Colon and Rectum,Digestive System,Pennsylvania,Asian or Pacific Islander,106,13.3,93.2,12805537.0
128,21041,Colon and Rectum,Digestive System,Pennsylvania,Black or African American,612,13.3,93.2,12805537.0
129,21041,Colon and Rectum,Digestive System,Pennsylvania,White,6060,13.3,93.2,12805537.0
130,21041,Colon and Rectum,Digestive System,Pennsylvania,Other Races and Unknown combined,84,13.3,93.2,12805537.0
131,21041,Colon and Rectum,Digestive System,Rhode Island,White,382,13.8,94.9,1059639.0
132,21041,Colon and Rectum,Digestive System,South Carolina,Asian or Pacific Islander,25,17.2,87.9,5024369.0
133,21041,Colon and Rectum,Digestive System,South Carolina,Black or African American,619,17.2,87.9,5024369.0
134,21041,Colon and Rectum,Digestive System,South Carolina,White,1651,17.2,87.9,5024369.0
135,21041,Colon and Rectum,Digestive System,South Carolina,Other Races and Unknown combined,24,17.2,87.9,5024369.0
136,21041,Colon and Rectum,Digestive System,South Dakota,American Indian or Alaska Native,21,14.0,89.6,869666.0
137,21041,Colon and Rectum,Digestive System,South Dakota,White,372,14.0,89.6,869666.0
138,21041,Colon and Rectum,Digestive System,Tennessee,Asian or Pacific Islander,22,17.2,89.4,6715984.0
139,21041,Colon and Rectum,Digestive System,Tennessee,Black or African American,473,17.2,89.4,6715984.0
140,21041,Colon and Rectum,Digestive System,Tennessee,White,2578,17.2,89.4,6715984.0
141,21041,Colon and Rectum,Digestive System,Tennessee,Other Races and Unknown combined,29,17.2,89.4,6715984.0
142,21041,Colon and Rectum,Digestive System,Texas,American Indian or Alaska Native,34,16.7,81.4,28304596.0
143,21041,Colon and Rectum,Digestive System,Texas,Asian or Pacific Islander,242,16.7,81.4,28304596.0
144,21041,Colon and Rectum,Digestive System,Texas,Black or African American,1354,16.7,81.4,28304596.0
145,21041,Colon and Rectum,Digestive System,Texas,White,8425,16.7,81.4,28304596.0
146,21041,Colon and Rectum,Digestive System,Texas,Other Races and Unknown combined,82,16.7,81.4,28304596.0
147,21041,Colon and Rectum,Digestive System,Utah,Asian or Pacific Islander,21,11.7,90.3,3101833.0
148,21041,Colon and Rectum,Digestive System,Utah,White,675,11.7,90.3,3101833.0
149,21041,Colon and Rectum,Digestive System,Vermont,American Indian or Alaska Native,0,11.6,95.3,623657.0
150,21041,Colon and Rectum,Digestive System,Vermont,White,264,11.6,95.3,623657.0
151,21041,Colon and Rectum,Digestive System,Virginia,Asian or Pacific Islander,107,11.4,90.1,8470020.0
152,21041,Colon and Rectum,Digestive System,Virginia,Black or African American,663,11.4,90.1,8470020.0
153,21041,Colon and Rectum,Digestive System,Virginia,White,2339,11.4,90.1,8470020.0
154,21041,Colon and Rectum,Digestive System,Virginia,Other Races and Unknown combined,68,11.4,90.1,8470020.0
155,21041,Colon and Rectum,Digestive System,Washington,American Indian or Alaska Native,57,12.7,93.1,7405743.0
156,21041,Colon and Rectum,Digestive System,Washington,Asian or Pacific Islander,163,12.7,93.1,7405743.0
157,21041,Colon and Rectum,Digestive System,Washington,Black or African American,105,12.7,93.1,7405743.0
158,21041,Colon and Rectum,Digestive System,Washington,White,2339,12.7,93.1,7405743.0
159,21041,Colon and Rectum,Digestive System,Washington,Other Races and Unknown combined,40,12.7,93.1,7405743.0
160,21041,Colon and Rectum,Digestive System,West Virginia,American Indian or Alaska Native,0,17.7,93.5,1815857.0
161,21041,Colon and Rectum,Digestive System,West Virginia,Black or African American,35,17.7,93.5,1815857.0
162,21041,Colon and Rectum,Digestive System,West Virginia,White,1106,17.7,93.5,1815857.0
163,21041,Colon and Rectum,Digestive System,Wisconsin,American Indian or Alaska Native,27,12.7,93.7,5795483.0
164,21041,Colon and Rectum,Digestive System,Wisconsin,Asian or Pacific Islander,23,12.7,93.7,5795483.0
165,21041,Colon and Rectum,Digestive System,Wisconsin,Black or African American,138,12.7,93.7,5795483.0
166,21041,Colon and Rectum,Digestive System,Wisconsin,White,2279,12.7,93.7,5795483.0
167,21041,Colon and Rectum,Digestive System,Wisconsin,Other Races and Unknown combined,19,12.7,93.7,5795483.0
168,21041,Colon and Rectum,Digestive System,Wyoming,Black or African American,0,11.6,86.6,579315.0
169,21041,Colon and Rectum,Digestive System,Wyoming,White,192,11.6,86.6,579315.0
170,21041,Colon and Rectum,Digestive System,Wyoming,Other Races and Unknown combined,0,11.6,86.6,579315.0
