,Cancer_id,Cancer_type,Cancer_category,State_name,Race_name,Count,Percentage_population_below_poverty_in_state,Percentage_population_insured_in_state,State_population
0,26001,Female Breast,Male and Female Breast,Alabama,Asian or Pacific Islander,22,18.4,89.2,4874747.0
1,26001,Female Breast,Male and Female Breast,Alabama,Black or African American,934,18.4,89.2,4874747.0
2,26001,Female Breast,Male and Female Breast,Alabama,White,2803,18.4,89.2,4874747.0
3,26001,Female Breast,Male and Female Breast,Alabama,Other Races and Unknown combined,48,18.4,89.2,4874747.0
4,26001,Female Breast,Male and Female Breast,Alaska,American Indian or Alaska Native,79,10.1,84.5,739795.0
5,26001,Female Breast,Male and Female Breast,Alaska,Asian or Pacific Islander,21,10.1,84.5,739795.0
6,26001,Female Breast,Male and Female Breast,Alaska,White,314,10.1,84.5,739795.0
7,26001,Female Breast,Male and Female Breast,Arizona,American Indian or Alaska Native,96,17.7,88.1,7016270.0
8,26001,Female Breast,Male and Female Breast,Arizona,Asian or Pacific Islander,114,17.7,88.1,7016270.0
9,26001,Female Breast,Male and Female Breast,Arizona,Black or African American,158,17.7,88.1,7016270.0
10,26001,Female Breast,Male and Female Breast,Arizona,White,4191,17.7,88.1,7016270.0
11,26001,Female Breast,Male and Female Breast,Arizona,Other Races and Unknown combined,60,17.7,88.1,7016270.0
12,26001,Female Breast,Male and Female Breast,Arkansas,American Indian or Alaska Native,17,18.8,90.6,3004279.0
13,26001,Female Breast,Male and Female Breast,Arkansas,Asian or Pacific Islander,27,18.8,90.6,3004279.0
14,26001,Female Breast,Male and Female Breast,Arkansas,Black or African American,291,18.8,90.6,3004279.0
15,26001,Female Breast,Male and Female Breast,Arkansas,White,1789,18.8,90.6,3004279.0
16,26001,Female Breast,Male and Female Breast,Arkansas,Other Races and Unknown combined,44,18.8,90.6,3004279.0
17,26001,Female Breast,Male and Female Breast,California,American Indian or Alaska Native,112,15.8,91.6,39536653.0
18,26001,Female Breast,Male and Female Breast,California,Asian or Pacific Islander,3785,15.8,91.6,39536653.0
19,26001,Female Breast,Male and Female Breast,California,Black or African American,1741,15.8,91.6,39536653.0
20,26001,Female Breast,Male and Female Breast,California,White,20662,15.8,91.6,39536653.0
21,26001,Female Breast,Male and Female Breast,California,Other Races and Unknown combined,437,15.8,91.6,39536653.0
22,26001,Female Breast,Male and Female Breast,Colorado,American Indian or Alaska Native,25,12.2,91.4,5607154.0
23,26001,Female Breast,Male and Female Breast,Colorado,Asian or Pacific Islander,80,12.2,91.4,5607154.0
24,26001,Female Breast,Male and Female Breast,Colorado,Black or African American,126,12.2,91.4,5607154.0
25,26001,Female Breast,Male and Female Breast,Colorado,White,3477,12.2,91.4,5607154.0
26,26001,Female Breast,Male and Female Breast,Colorado,Other Races and Unknown combined,33,12.2,91.4,5607154.0
27,26001,Female Breast,Male and Female Breast,Connecticut,Asian or Pacific Islander,79,10.4,94.2,3588184.0
28,26001,Female Breast,Male and Female Breast,Connecticut,Black or African American,267,10.4,94.2,3588184.0
29,26001,Female Breast,Male and Female Breast,Connecticut,White,2898,10.4,94.2,3588184.0
30,26001,Female Breast,Male and Female Breast,Connecticut,Other Races and Unknown combined,74,10.4,94.2,3588184.0
31,26001,Female Breast,Male and Female Breast,Delaware,Black or African American,171,12.0,93.3,961939.0
32,26001,Female Breast,Male and Female Breast,Delaware,White,641,12.0,93.3,961939.0
33,26001,Female Breast,Male and Female Breast,District of Columbia,Black or African American,265,17.9,95.9,693972.0
34,26001,Female Breast,Male and Female Breast,District of Columbia,White,124,17.9,95.9,693972.0
35,26001,Female Breast,Male and Female Breast,Florida,American Indian or Alaska Native,28,16.1,84.6,20984400.0
36,26001,Female Breast,Male and Female Breast,Florida,Asian or Pacific Islander,285,16.1,84.6,20984400.0
37,26001,Female Breast,Male and Female Breast,Florida,Black or African American,1839,16.1,84.6,20984400.0
38,26001,Female Breast,Male and Female Breast,Florida,White,13271,16.1,84.6,20984400.0
39,26001,Female Breast,Male and Female Breast,Florida,Other Races and Unknown combined,399,16.1,84.6,20984400.0
40,26001,Female Breast,Male and Female Breast,Georgia,Asian or Pacific Islander,195,17.8,85.1,10429379.0
41,26001,Female Breast,Male and Female Breast,Georgia,Black or African American,2160,17.8,85.1,10429379.0
42,26001,Female Breast,Male and Female Breast,Georgia,White,4993,17.8,85.1,10429379.0
43,26001,Female Breast,Male and Female Breast,Georgia,Other Races and Unknown combined,17,17.8,85.1,10429379.0
44,26001,Female Breast,Male and Female Breast,Hawaii,Asian or Pacific Islander,834,10.8,95.8,1427538.0
45,26001,Female Breast,Male and Female Breast,Hawaii,White,319,10.8,95.8,1427538.0
46,26001,Female Breast,Male and Female Breast,Idaho,Black or African American,0,15.2,88.2,1716943.0
47,26001,Female Breast,Male and Female Breast,Idaho,White,1136,15.2,88.2,1716943.0
48,26001,Female Breast,Male and Female Breast,Illinois,Asian or Pacific Islander,374,14.0,92.5,12802023.0
49,26001,Female Breast,Male and Female Breast,Illinois,Black or African American,1498,14.0,92.5,12802023.0
50,26001,Female Breast,Male and Female Breast,Illinois,White,8384,14.0,92.5,12802023.0
51,26001,Female Breast,Male and Female Breast,Illinois,Other Races and Unknown combined,82,14.0,92.5,12802023.0
52,26001,Female Breast,Male and Female Breast,Indiana,Asian or Pacific Islander,47,15.0,90.5,6666818.0
53,26001,Female Breast,Male and Female Breast,Indiana,Black or African American,387,15.0,90.5,6666818.0
54,26001,Female Breast,Male and Female Breast,Indiana,White,4407,15.0,90.5,6666818.0
55,26001,Female Breast,Male and Female Breast,Iowa,Asian or Pacific Islander,29,12.3,95.0,3145711.0
56,26001,Female Breast,Male and Female Breast,Iowa,Black or African American,41,12.3,95.0,3145711.0
57,26001,Female Breast,Male and Female Breast,Iowa,White,2385,12.3,95.0,3145711.0
58,26001,Female Breast,Male and Female Breast,Kansas,Black or African American,93,13.3,90.1,2913123.0
59,26001,Female Breast,Male and Female Breast,Kansas,White,2037,13.3,90.1,2913123.0
60,26001,Female Breast,Male and Female Breast,Kansas,Other Races and Unknown combined,43,13.3,90.1,2913123.0
61,26001,Female Breast,Male and Female Breast,Kentucky,Black or African American,240,18.8,94.0,4454189.0
