,Cancer_id,Cancer_type,Cancer_category,State_name,Race_name,Count,Percentage_population_below_poverty_in_state,Percentage_population_insured_in_state,State_population
0,22030,Lung and Bronchus,Respiratory System,Alabama,Black or African American,688,18.4,89.2,4874747.0
1,22030,Lung and Bronchus,Respiratory System,Alabama,White,3184,18.4,89.2,4874747.0
2,22030,Lung and Bronchus,Respiratory System,Alaska,American Indian or Alaska Native,86,10.1,84.5,739795.0
3,22030,Lung and Bronchus,Respiratory System,Alaska,White,246,10.1,84.5,739795.0
4,22030,Lung and Bronchus,Respiratory System,Alaska,Other Races and Unknown combined,0,10.1,84.5,739795.0
5,22030,Lung and Bronchus,Respiratory System,Arizona,American Indian or Alaska Native,41,17.7,88.1,7016270.0
6,22030,Lung and Bronchus,Respiratory System,Arizona,Asian or Pacific Islander,57,17.7,88.1,7016270.0
7,22030,Lung and Bronchus,Respiratory System,Arizona,Black or African American,102,17.7,88.1,7016270.0
8,22030,Lung and Bronchus,Respiratory System,Arizona,White,3737,17.7,88.1,7016270.0
9,22030,Lung and Bronchus,Respiratory System,Arizona,Other Races and Unknown combined,38,17.7,88.1,7016270.0
10,22030,Lung and Bronchus,Respiratory System,Arkansas,American Indian or Alaska Native,18,18.8,90.6,3004279.0
11,22030,Lung and Bronchus,Respiratory System,Arkansas,Black or African American,319,18.8,90.6,3004279.0
12,22030,Lung and Bronchus,Respiratory System,Arkansas,White,2534,18.8,90.6,3004279.0
13,22030,Lung and Bronchus,Respiratory System,California,American Indian or Alaska Native,122,15.8,91.6,39536653.0
14,22030,Lung and Bronchus,Respiratory System,California,Asian or Pacific Islander,2284,15.8,91.6,39536653.0
15,22030,Lung and Bronchus,Respiratory System,California,Black or African American,1304,15.8,91.6,39536653.0
16,22030,Lung and Bronchus,Respiratory System,California,White,13152,15.8,91.6,39536653.0
17,22030,Lung and Bronchus,Respiratory System,California,Other Races and Unknown combined,86,15.8,91.6,39536653.0
18,22030,Lung and Bronchus,Respiratory System,Colorado,Asian or Pacific Islander,42,12.2,91.4,5607154.0
19,22030,Lung and Bronchus,Respiratory System,Colorado,Black or African American,84,12.2,91.4,5607154.0
20,22030,Lung and Bronchus,Respiratory System,Colorado,White,2158,12.2,91.4,5607154.0
21,22030,Lung and Bronchus,Respiratory System,Connecticut,Asian or Pacific Islander,23,10.4,94.2,3588184.0
22,22030,Lung and Bronchus,Respiratory System,Connecticut,Black or African American,197,10.4,94.2,3588184.0
23,22030,Lung and Bronchus,Respiratory System,Connecticut,White,2327,10.4,94.2,3588184.0
24,22030,Lung and Bronchus,Respiratory System,Connecticut,Other Races and Unknown combined,30,10.4,94.2,3588184.0
25,22030,Lung and Bronchus,Respiratory System,Delaware,Black or African American,120,12.0,93.3,961939.0
26,22030,Lung and Bronchus,Respiratory System,Delaware,White,754,12.0,93.3,961939.0
27,22030,Lung and Bronchus,Respiratory System,District of Columbia,American Indian or Alaska Native,0,17.9,95.9,693972.0
28,22030,Lung and Bronchus,Respiratory System,District of Columbia,Black or African American,220,17.9,95.9,693972.0
29,22030,Lung and Bronchus,Respiratory System,District of Columbia,White,48,17.9,95.9,693972.0
30,22030,Lung and Bronchus,Respiratory System,Florida,American Indian or Alaska Native,19,16.1,84.6,20984400.0
31,22030,Lung and Bronchus,Respiratory System,Florida,Asian or Pacific Islander,148,16.1,84.6,20984400.0
32,22030,Lung and Bronchus,Respiratory System,Florida,Black or African American,1286,16.1,84.6,20984400.0
33,22030,Lung and Bronchus,Respiratory System,Florida,White,14547,16.1,84.6,20984400.0
34,22030,Lung and Bronchus,Respiratory System,Florida,Other Races and Unknown combined,225,16.1,84.6,20984400.0
35,22030,Lung and Bronchus,Respiratory System,Georgia,Asian or Pacific Islander,72,17.8,85.1,10429379.0
36,22030,Lung and Bronchus,Respiratory System,Georgia,Black or African American,1469,17.8,85.1,10429379.0
37,22030,Lung and Bronchus,Respiratory System,Georgia,White,4953,17.8,85.1,10429379.0
38,22030,Lung and Bronchus,Respiratory System,Hawaii,Asian or Pacific Islander,572,10.8,95.8,1427538.0
39,22030,Lung and Bronchus,Respiratory System,Hawaii,White,218,10.8,95.8,1427538.0
40,22030,Lung and Bronchus,Respiratory System,Idaho,White,909,15.2,88.2,1716943.0
41,22030,Lung and Bronchus,Respiratory System,Illinois,Asian or Pacific Islander,208,14.0,92.5,12802023.0
42,22030,Lung and Bronchus,Respiratory System,Illinois,Black or African American,1426,14.0,92.5,12802023.0
43,22030,Lung and Bronchus,Respiratory System,Illinois,White,7791,14.0,92.5,12802023.0
44,22030,Lung and Bronchus,Respiratory System,Illinois,Other Races and Unknown combined,37,14.0,92.5,12802023.0
45,22030,Lung and Bronchus,Respiratory System,Indiana,Asian or Pacific Islander,24,15.0,90.5,6666818.0
46,22030,Lung and Bronchus,Respiratory System,Indiana,Black or African American,367,15.0,90.5,6666818.0
47,22030,Lung and Bronchus,Respiratory System,Indiana,White,5184,15.0,90.5,6666818.0
48,22030,Lung and Bronchus,Respiratory System,Iowa,Black or African American,39,12.3,95.0,3145711.0
49,22030,Lung and Bronchus,Respiratory System,Iowa,White,2402,12.3,95.0,3145711.0
50,22030,Lung and Bronchus,Respiratory System,Kansas,Black or African American,107,13.3,90.1,2913123.0
51,22030,Lung and Bronchus,Respiratory System,Kansas,White,1827,13.3,90.1,2913123.0
52,22030,Lung and Bronchus,Respiratory System,Kentucky,Black or African American,257,18.8,94.0,4454189.0
53,22030,Lung and Bronchus,Respiratory System,Kentucky,White,4567,18.8,94.0,4454189.0
54,22030,Lung and Bronchus,Respiratory System,Louisiana,Asian or Pacific Islander,23,19.7,88.2,4684333.0
55,22030,Lung and Bronchus,Respiratory System,Louisiana,Black or African American,943,19.7,88.2,4684333.0
56,22030,Lung and Bronchus,Respiratory System,Louisiana,White,2494,19.7,88.2,4684333.0
57,22030,Lung and Bronchus,Respiratory System,Maine,White,1330,13.5,89.9,1335907.0
58,22030,Lung and Bronchus,Respiratory System,Maryland,Asian or Pacific Islander,83,9.9,93.0,6052177.0
59,22030,Lung and Bronchus,Respiratory System,Maryland,Black or African American,894,9.9,93.0,6052177.0
60,22030,Lung and Bronchus,Respiratory System,Maryland,White,2814,9.9,93.0,6052177.0
61,22030,Lung and Bronchus,Respiratory System,Massachusetts,Asian or Pacific Islander,145,11.4,97.0,6859819.0
62,22030,Lung and Bronchus,Respiratory System,Massachusetts,Black or African American,200,11.4,97.0,6859819.0
63,22030,Lung and Bronchus,Respiratory System,Massachusetts,White,4748,11.4,97.0,6859819.0
64,22030,Lung and Bronchus,Respiratory System,Massachusetts,Other Races and Unknown combined,21,11.4,97.0,6859819.0
65,22030,Lung and Bronchus,Respiratory System,Michigan,American Indian or Alaska Native,81,16.3,93.6,9962311.0
66,22030,Lung and Bronchus,Respiratory System,Michigan,Asian or Pacific Islander,51,16.3,93.6,9962311.0
67,22030,Lung and Bronchus,Respiratory System,Michigan,Black or African American,948,16.3,93.6,9962311.0
68,22030,Lung and Bronchus,Respiratory System,Michigan,White,6714,16.3,93.6,9962311.0
69,22030,Lung and Bronchus,Respiratory System,Michigan,Other Races and Unknown combined,16,16.3,93.6,9962311.0
70,22030,Lung and Bronchus,Respiratory System,Minnesota,American Indian or Alaska Native,60,10.8,95.2,5576606.0
71,22030,Lung and Bronchus,Respiratory System,Minnesota,Asian or Pacific Islander,54,10.8,95.2,5576606.0
72,22030,Lung and Bronchus,Respiratory System,Minnesota,Black or African American,114,10.8,95.2,5576606.0
73,22030,Lung and Bronchus,Respiratory System,Minnesota,White,3448,10.8,95.2,5576606.0
