,Cancer_id,Cancer_type,Cancer_category,State_name,Race_name,Count,Percentage_population_below_poverty_in_state,Percentage_population_insured_in_state,State_population
0,33041,Non-Hodgkin Lymphoma,Lymphomas,Alabama,Black or African American,162,18.4,89.2,4874747.0
1,33041,Non-Hodgkin Lymphoma,Lymphomas,Alabama,White,741,18.4,89.2,4874747.0
2,33041,Non-Hodgkin Lymphoma,Lymphomas,Alabama,Other Races and Unknown combined,24,18.4,89.2,4874747.0
3,33041,Non-Hodgkin Lymphoma,Lymphomas,Alaska,American Indian or Alaska Native,22,10.1,84.5,739795.0
4,33041,Non-Hodgkin Lymphoma,Lymphomas,Alaska,White,95,10.1,84.5,739795.0
5,33041,Non-Hodgkin Lymphoma,Lymphomas,Arizona,American Indian or Alaska Native,39,17.7,88.1,7016270.0
6,33041,Non-Hodgkin Lymphoma,Lymphomas,Arizona,Asian or Pacific Islander,24,17.7,88.1,7016270.0
7,33041,Non-Hodgkin Lymphoma,Lymphomas,Arizona,Black or African American,23,17.7,88.1,7016270.0
8,33041,Non-Hodgkin Lymphoma,Lymphomas,Arizona,White,1081,17.7,88.1,7016270.0
9,33041,Non-Hodgkin Lymphoma,Lymphomas,Arizona,Other Races and Unknown combined,22,17.7,88.1,7016270.0
10,33041,Non-Hodgkin Lymphoma,Lymphomas,Arkansas,Black or African American,58,18.8,90.6,3004279.0
11,33041,Non-Hodgkin Lymphoma,Lymphomas,Arkansas,White,516,18.8,90.6,3004279.0
12,33041,Non-Hodgkin Lymphoma,Lymphomas,California,American Indian or Alaska Native,34,15.8,91.6,39536653.0
13,33041,Non-Hodgkin Lymphoma,Lymphomas,California,Asian or Pacific Islander,897,15.8,91.6,39536653.0
14,33041,Non-Hodgkin Lymphoma,Lymphomas,California,Black or African American,354,15.8,91.6,39536653.0
15,33041,Non-Hodgkin Lymphoma,Lymphomas,California,White,5953,15.8,91.6,39536653.0
16,33041,Non-Hodgkin Lymphoma,Lymphomas,California,Other Races and Unknown combined,234,15.8,91.6,39536653.0
17,33041,Non-Hodgkin Lymphoma,Lymphomas,Colorado,Asian or Pacific Islander,21,12.2,91.4,5607154.0
18,33041,Non-Hodgkin Lymphoma,Lymphomas,Colorado,Black or African American,33,12.2,91.4,5607154.0
19,33041,Non-Hodgkin Lymphoma,Lymphomas,Colorado,White,912,12.2,91.4,5607154.0
20,33041,Non-Hodgkin Lymphoma,Lymphomas,Connecticut,Black or African American,48,10.4,94.2,3588184.0
21,33041,Non-Hodgkin Lymphoma,Lymphomas,Connecticut,White,863,10.4,94.2,3588184.0
22,33041,Non-Hodgkin Lymphoma,Lymphomas,Connecticut,Other Races and Unknown combined,41,10.4,94.2,3588184.0
23,33041,Non-Hodgkin Lymphoma,Lymphomas,Delaware,Black or African American,31,12.0,93.3,961939.0
24,33041,Non-Hodgkin Lymphoma,Lymphomas,Delaware,White,195,12.0,93.3,961939.0
25,33041,Non-Hodgkin Lymphoma,Lymphomas,District of Columbia,American Indian or Alaska Native,0,17.9,95.9,693972.0
26,33041,Non-Hodgkin Lymphoma,Lymphomas,District of Columbia,Black or African American,51,17.9,95.9,693972.0
27,33041,Non-Hodgkin Lymphoma,Lymphomas,District of Columbia,White,21,17.9,95.9,693972.0
28,33041,Non-Hodgkin Lymphoma,Lymphomas,Florida,Asian or Pacific Islander,63,16.1,84.6,20984400.0
29,33041,Non-Hodgkin Lymphoma,Lymphomas,Florida,Black or African American,420,16.1,84.6,20984400.0
30,33041,Non-Hodgkin Lymphoma,Lymphomas,Florida,White,3898,16.1,84.6,20984400.0
31,33041,Non-Hodgkin Lymphoma,Lymphomas,Florida,Other Races and Unknown combined,95,16.1,84.6,20984400.0
32,33041,Non-Hodgkin Lymphoma,Lymphomas,Georgia,Asian or Pacific Islander,42,17.8,85.1,10429379.0
