,Cancer_id,Cancer_type,Cancer_category,State_name,Race_name,Count,Percentage_population_below_poverty_in_state,Percentage_population_insured_in_state,State_population
0,32010,Thyroid,Endocrine System,Alabama,American Indian or Alaska Native,0,18.4,89.2,4874747.0
1,32010,Thyroid,Endocrine System,Alabama,Black or African American,85,18.4,89.2,4874747.0
2,32010,Thyroid,Endocrine System,Alabama,White,417,18.4,89.2,4874747.0
3,32010,Thyroid,Endocrine System,Alaska,American Indian or Alaska Native,17,10.1,84.5,739795.0
4,32010,Thyroid,Endocrine System,Alaska,White,47,10.1,84.5,739795.0
5,32010,Thyroid,Endocrine System,Arizona,American Indian or Alaska Native,27,17.7,88.1,7016270.0
6,32010,Thyroid,Endocrine System,Arizona,Asian or Pacific Islander,28,17.7,88.1,7016270.0
7,32010,Thyroid,Endocrine System,Arizona,Black or African American,27,17.7,88.1,7016270.0
8,32010,Thyroid,Endocrine System,Arizona,White,859,17.7,88.1,7016270.0
9,32010,Thyroid,Endocrine System,Arkansas,Black or African American,44,18.8,90.6,3004279.0
10,32010,Thyroid,Endocrine System,Arkansas,White,363,18.8,90.6,3004279.0
11,32010,Thyroid,Endocrine System,California,American Indian or Alaska Native,39,15.8,91.6,39536653.0
12,32010,Thyroid,Endocrine System,California,Asian or Pacific Islander,946,15.8,91.6,39536653.0
13,32010,Thyroid,Endocrine System,California,Black or African American,186,15.8,91.6,39536653.0
14,32010,Thyroid,Endocrine System,California,White,4121,15.8,91.6,39536653.0
15,32010,Thyroid,Endocrine System,California,Other Races and Unknown combined,101,15.8,91.6,39536653.0
16,32010,Thyroid,Endocrine System,Colorado,Asian or Pacific Islander,29,12.2,91.4,5607154.0
17,32010,Thyroid,Endocrine System,Colorado,White,752,12.2,91.4,5607154.0
18,32010,Thyroid,Endocrine System,Colorado,Other Races and Unknown combined,17,12.2,91.4,5607154.0
19,32010,Thyroid,Endocrine System,Connecticut,American Indian or Alaska Native,0,10.4,94.2,3588184.0
20,32010,Thyroid,Endocrine System,Connecticut,Asian or Pacific Islander,23,10.4,94.2,3588184.0
21,32010,Thyroid,Endocrine System,Connecticut,Black or African American,44,10.4,94.2,3588184.0
22,32010,Thyroid,Endocrine System,Connecticut,White,606,10.4,94.2,3588184.0
23,32010,Thyroid,Endocrine System,Connecticut,Other Races and Unknown combined,31,10.4,94.2,3588184.0
24,32010,Thyroid,Endocrine System,Delaware,American Indian or Alaska Native,0,12.0,93.3,961939.0
25,32010,Thyroid,Endocrine System,Delaware,Black or African American,22,12.0,93.3,961939.0
26,32010,Thyroid,Endocrine System,Delaware,White,111,12.0,93.3,961939.0
27,32010,Thyroid,Endocrine System,District of Columbia,Black or African American,28,17.9,95.9,693972.0
28,32010,Thyroid,Endocrine System,District of Columbia,White,51,17.9,95.9,693972.0
29,32010,Thyroid,Endocrine System,Florida,Asian or Pacific Islander,84,16.1,84.6,20984400.0
30,32010,Thyroid,Endocrine System,Florida,Black or African American,252,16.1,84.6,20984400.0
31,32010,Thyroid,Endocrine System,Florida,White,2360,16.1,84.6,20984400.0
32,32010,Thyroid,Endocrine System,Florida,Other Races and Unknown combined,84,16.1,84.6,20984400.0
33,32010,Thyroid,Endocrine System,Georgia,Asian or Pacific Islander,64,17.8,85.1,10429379.0
34,32010,Thyroid,Endocrine System,Georgia,Black or African American,266,17.8,85.1,10429379.0
35,32010,Thyroid,Endocrine System,Georgia,White,976,17.8,85.1,10429379.0
36,32010,Thyroid,Endocrine System,Hawaii,Asian or Pacific Islander,158,10.8,95.8,1427538.0
37,32010,Thyroid,Endocrine System,Hawaii,Black or African American,0,10.8,95.8,1427538.0
38,32010,Thyroid,Endocrine System,Hawaii,White,55,10.8,95.8,1427538.0
39,32010,Thyroid,Endocrine System,Idaho,American Indian or Alaska Native,0,15.2,88.2,1716943.0
40,32010,Thyroid,Endocrine System,Idaho,White,247,15.2,88.2,1716943.0
41,32010,Thyroid,Endocrine System,Illinois,Asian or Pacific Islander,114,14.0,92.5,12802023.0
42,32010,Thyroid,Endocrine System,Illinois,Black or African American,162,14.0,92.5,12802023.0
43,32010,Thyroid,Endocrine System,Illinois,White,1853,14.0,92.5,12802023.0
44,32010,Thyroid,Endocrine System,Illinois,Other Races and Unknown combined,36,14.0,92.5,12802023.0
45,32010,Thyroid,Endocrine System,Indiana,American Indian or Alaska Native,0,15.0,90.5,6666818.0
46,32010,Thyroid,Endocrine System,Indiana,Black or African American,51,15.0,90.5,6666818.0
47,32010,Thyroid,Endocrine System,Indiana,White,798,15.0,90.5,6666818.0
48,32010,Thyroid,Endocrine System,Iowa,American Indian or Alaska Native,0,12.3,95.0,3145711.0
49,32010,Thyroid,Endocrine System,Iowa,White,461,12.3,95.0,3145711.0
50,32010,Thyroid,Endocrine System,Kansas,Black or African American,18,13.3,90.1,2913123.0
51,32010,Thyroid,Endocrine System,Kansas,White,439,13.3,90.1,2913123.0
52,32010,Thyroid,Endocrine System,Kansas,Other Races and Unknown combined,27,13.3,90.1,2913123.0
53,32010,Thyroid,Endocrine System,Kentucky,Black or African American,46,18.8,94.0,4454189.0
54,32010,Thyroid,Endocrine System,Kentucky,White,717,18.8,94.0,4454189.0
55,32010,Thyroid,Endocrine System,Louisiana,American Indian or Alaska Native,0,19.7,88.2,4684333.0
56,32010,Thyroid,Endocrine System,Louisiana,Asian or Pacific Islander,18,19.7,88.2,4684333.0
57,32010,Thyroid,Endocrine System,Louisiana,Black or African American,146,19.7,88.2,4684333.0
58,32010,Thyroid,Endocrine System,Louisiana,White,542,19.7,88.2,4684333.0
59,32010,Thyroid,Endocrine System,Maine,White,241,13.5,89.9,1335907.0
60,32010,Thyroid,Endocrine System,Maine,Other Races and Unknown combined,0,13.5,89.9,1335907.0
61,32010,Thyroid,Endocrine System,Maryland,Asian or Pacific Islander,87,9.9,93.0,6052177.0
62,32010,Thyroid,Endocrine System,Maryland,Black or African American,205,9.9,93.0,6052177.0
63,32010,Thyroid,Endocrine System,Maryland,White,593,9.9,93.0,6052177.0
64,32010,Thyroid,Endocrine System,Maryland,Other Races and Unknown combined,23,9.9,93.0,6052177.0
65,32010,Thyroid,Endocrine System,Massachusetts,Asian or Pacific Islander,98,11.4,97.0,6859819.0
66,32010,Thyroid,Endocrine System,Massachusetts,Black or African American,75,11.4,97.0,6859819.0
67,32010,Thyroid,Endocrine System,Massachusetts,White,1243,11.4,97.0,6859819.0
68,32010,Thyroid,Endocrine System,Massachusetts,Other Races and Unknown combined,73,11.4,97.0,6859819.0
69,32010,Thyroid,Endocrine System,Michigan,Asian or Pacific Islander,32,16.3,93.6,9962311.0
70,32010,Thyroid,Endocrine System,Michigan,Black or African American,132,16.3,93.6,9962311.0
71,32010,Thyroid,Endocrine System,Michigan,White,1116,16.3,93.6,9962311.0
72,32010,Thyroid,Endocrine System,Minnesota,Asian or Pacific Islander,24,10.8,95.2,5576606.0
73,32010,Thyroid,Endocrine System,Minnesota,Black or African American,30,10.8,95.2,5576606.0
74,32010,Thyroid,Endocrine System,Minnesota,White,668,10.8,95.2,5576606.0
75,32010,Thyroid,Endocrine System,Minnesota,Other Races and Unknown combined,19,10.8,95.2,5576606.0
76,32010,Thyroid,Endocrine System,Mississippi,Black or African American,90,22.3,86.0,2984100.0
77,32010,Thyroid,Endocrine System,Mississippi,White,243,22.3,86.0,2984100.0
78,32010,Thyroid,Endocrine System,Missouri,Asian or Pacific Islander,22,15.3,89.4,6113532.0
79,32010,Thyroid,Endocrine System,Missouri,Black or African American,61,15.3,89.4,6113532.0
80,32010,Thyroid,Endocrine System,Missouri,White,675,15.3,89.4,6113532.0
81,32010,Thyroid,Endocrine System,Montana,Black or African American,0,14.9,90.0,1050493.0
82,32010,Thyroid,Endocrine System,Montana,White,155,14.9,90.0,1050493.0
83,32010,Thyroid,Endocrine System,Montana,Other Races and Unknown combined,0,14.9,90.0,1050493.0
84,32010,Thyroid,Endocrine System,Nebraska,White,268,12.4,90.3,1920076.0
85,32010,Thyroid,Endocrine System,Nevada,Asian or Pacific Islander,45,14.9,86.9,2998039.0
86,32010,Thyroid,Endocrine System,Nevada,White,370,14.9,86.9,2998039.0
87,32010,Thyroid,Endocrine System,Nevada,Other Races and Unknown combined,22,14.9,86.9,2998039.0
88,32010,Thyroid,Endocrine System,New Hampshire,American Indian or Alaska Native,0,8.5,92.8,1342795.0
89,32010,Thyroid,Endocrine System,New Hampshire,White,212,8.5,92.8,1342795.0
90,32010,Thyroid,Endocrine System,New Hampshire,Other Races and Unknown combined,0,8.5,92.8,1342795.0
91,32010,Thyroid,Endocrine System,New Jersey,Asian or Pacific Islander,149,10.9,90.8,9005644.0
92,32010,Thyroid,Endocrine System,New Jersey,Black or African American,154,10.9,90.8,9005644.0
93,32010,Thyroid,Endocrine System,New Jersey,White,1416,10.9,90.8,9005644.0
94,32010,Thyroid,Endocrine System,New Jersey,Other Races and Unknown combined,75,10.9,90.8,9005644.0
95,32010,Thyroid,Endocrine System,New Mexico,American Indian or Alaska Native,18,20.9,88.8,2088070.0
96,32010,Thyroid,Endocrine System,New Mexico,White,328,20.9,88.8,2088070.0
97,32010,Thyroid,Endocrine System,New York,Asian or Pacific Islander,486,15.5,92.9,19849399.0
98,32010,Thyroid,Endocrine System,New York,Black or African American,421,15.5,92.9,19849399.0
99,32010,Thyroid,Endocrine System,New York,White,3205,15.5,92.9,19849399.0
100,32010,Thyroid,Endocrine System,New York,Other Races and Unknown combined,170,15.5,92.9,19849399.0
101,32010,Thyroid,Endocrine System,North Carolina,Asian or Pacific Islander,31,16.8,87.8,10273419.0
102,32010,Thyroid,Endocrine System,North Carolina,Black or African American,200,16.8,87.8,10273419.0
103,32010,Thyroid,Endocrine System,North Carolina,White,1041,16.8,87.8,10273419.0
104,32010,Thyroid,Endocrine System,North Carolina,Other Races and Unknown combined,46,16.8,87.8,10273419.0
105,32010,Thyroid,Endocrine System,North Dakota,White,115,11.2,92.4,755393.0
106,32010,Thyroid,Endocrine System,North Dakota,Other Races and Unknown combined,0,11.2,92.4,755393.0
107,32010,Thyroid,Endocrine System,Ohio,Asian or Pacific Islander,27,15.4,93.3,11658609.0
108,32010,Thyroid,Endocrine System,Ohio,Black or African American,151,15.4,93.3,11658609.0
109,32010,Thyroid,Endocrine System,Ohio,White,1629,15.4,93.3,11658609.0
110,32010,Thyroid,Endocrine System,Ohio,Other Races and Unknown combined,24,15.4,93.3,11658609.0
111,32010,Thyroid,Endocrine System,Oklahoma,American Indian or Alaska Native,54,16.5,84.0,3930864.0
112,32010,Thyroid,Endocrine System,Oklahoma,Black or African American,31,16.5,84.0,3930864.0
113,32010,Thyroid,Endocrine System,Oklahoma,White,432,16.5,84.0,3930864.0
114,32010,Thyroid,Endocrine System,Oregon,Asian or Pacific Islander,30,15.7,92.6,4142776.0
115,32010,Thyroid,Endocrine System,Oregon,White,526,15.7,92.6,4142776.0
116,32010,Thyroid,Endocrine System,Pennsylvania,Asian or Pacific Islander,74,13.3,93.2,12805537.0
117,32010,Thyroid,Endocrine System,Pennsylvania,Black or African American,204,13.3,93.2,12805537.0
118,32010,Thyroid,Endocrine System,Pennsylvania,White,2318,13.3,93.2,12805537.0
119,32010,Thyroid,Endocrine System,Pennsylvania,Other Races and Unknown combined,44,13.3,93.2,12805537.0
120,32010,Thyroid,Endocrine System,Rhode Island,American Indian or Alaska Native,0,13.8,94.9,1059639.0
121,32010,Thyroid,Endocrine System,Rhode Island,White,186,13.8,94.9,1059639.0
122,32010,Thyroid,Endocrine System,South Carolina,Black or African American,127,17.2,87.9,5024369.0
123,32010,Thyroid,Endocrine System,South Carolina,White,449,17.2,87.9,5024369.0
124,32010,Thyroid,Endocrine System,South Dakota,Black or African American,0,14.0,89.6,869666.0
