,Cancer_id,Cancer_type,Cancer_category,State_name,Race_name,Count,Percentage_population_below_poverty_in_state,Percentage_population_insured_in_state,State_population
0,29010,"Urinary Bladder, invasive and in situ",Urinary System,Alabama,American Indian or Alaska Native,0,18.4,89.2,4874747.0
1,29010,"Urinary Bladder, invasive and in situ",Urinary System,Alabama,Black or African American,112,18.4,89.2,4874747.0
2,29010,"Urinary Bladder, invasive and in situ",Urinary System,Alabama,White,944,18.4,89.2,4874747.0
3,29010,"Urinary Bladder, invasive and in situ",Urinary System,Alabama,Other Races and Unknown combined,18,18.4,89.2,4874747.0
4,29010,"Urinary Bladder, invasive and in situ",Urinary System,Alaska,American Indian or Alaska Native,16,10.1,84.5,739795.0
5,29010,"Urinary Bladder, invasive and in situ",Urinary System,Alaska,White,118,10.1,84.5,739795.0
6,29010,"Urinary Bladder, invasive and in situ",Urinary System,Arizona,Asian or Pacific Islander,22,17.7,88.1,7016270.0
7,29010,"Urinary Bladder, invasive and in situ",Urinary System,Arizona,White,1447,17.7,88.1,7016270.0
8,29010,"Urinary Bladder, invasive and in situ",Urinary System,Arizona,Other Races and Unknown combined,75,17.7,88.1,7016270.0
9,29010,"Urinary Bladder, invasive and in situ",Urinary System,Arkansas,Black or African American,40,18.8,90.6,3004279.0
10,29010,"Urinary Bladder, invasive and in situ",Urinary System,Arkansas,White,613,18.8,90.6,3004279.0
11,29010,"Urinary Bladder, invasive and in situ",Urinary System,California,American Indian or Alaska Native,28,15.8,91.6,39536653.0
12,29010,"Urinary Bladder, invasive and in situ",Urinary System,California,Asian or Pacific Islander,533,15.8,91.6,39536653.0
13,29010,"Urinary Bladder, invasive and in situ",Urinary System,California,Black or African American,294,15.8,91.6,39536653.0
14,29010,"Urinary Bladder, invasive and in situ",Urinary System,California,White,5676,15.8,91.6,39536653.0
15,29010,"Urinary Bladder, invasive and in situ",Urinary System,California,Other Races and Unknown combined,167,15.8,91.6,39536653.0
16,29010,"Urinary Bladder, invasive and in situ",Urinary System,Colorado,Black or African American,22,12.2,91.4,5607154.0
17,29010,"Urinary Bladder, invasive and in situ",Urinary System,Colorado,White,919,12.2,91.4,5607154.0
18,29010,"Urinary Bladder, invasive and in situ",Urinary System,Colorado,Other Races and Unknown combined,26,12.2,91.4,5607154.0
19,29010,"Urinary Bladder, invasive and in situ",Urinary System,Connecticut,Black or African American,38,10.4,94.2,3588184.0
20,29010,"Urinary Bladder, invasive and in situ",Urinary System,Connecticut,White,1083,10.4,94.2,3588184.0
21,29010,"Urinary Bladder, invasive and in situ",Urinary System,Connecticut,Other Races and Unknown combined,26,10.4,94.2,3588184.0
22,29010,"Urinary Bladder, invasive and in situ",Urinary System,Delaware,Black or African American,34,12.0,93.3,961939.0
23,29010,"Urinary Bladder, invasive and in situ",Urinary System,Delaware,White,260,12.0,93.3,961939.0
24,29010,"Urinary Bladder, invasive and in situ",Urinary System,District of Columbia,American Indian or Alaska Native,0,17.9,95.9,693972.0
25,29010,"Urinary Bladder, invasive and in situ",Urinary System,District of Columbia,Asian or Pacific Islander,0,17.9,95.9,693972.0
26,29010,"Urinary Bladder, invasive and in situ",Urinary System,District of Columbia,Black or African American,48,17.9,95.9,693972.0
27,29010,"Urinary Bladder, invasive and in situ",Urinary System,District of Columbia,White,21,17.9,95.9,693972.0
28,29010,"Urinary Bladder, invasive and in situ",Urinary System,Florida,Asian or Pacific Islander,32,16.1,84.6,20984400.0
29,29010,"Urinary Bladder, invasive and in situ",Urinary System,Florida,Black or African American,239,16.1,84.6,20984400.0
30,29010,"Urinary Bladder, invasive and in situ",Urinary System,Florida,White,4833,16.1,84.6,20984400.0
31,29010,"Urinary Bladder, invasive and in situ",Urinary System,Florida,Other Races and Unknown combined,158,16.1,84.6,20984400.0
32,29010,"Urinary Bladder, invasive and in situ",Urinary System,Georgia,Asian or Pacific Islander,22,17.8,85.1,10429379.0
33,29010,"Urinary Bladder, invasive and in situ",Urinary System,Georgia,Black or African American,264,17.8,85.1,10429379.0
34,29010,"Urinary Bladder, invasive and in situ",Urinary System,Georgia,White,1549,17.8,85.1,10429379.0
35,29010,"Urinary Bladder, invasive and in situ",Urinary System,Hawaii,Asian or Pacific Islander,136,10.8,95.8,1427538.0
36,29010,"Urinary Bladder, invasive and in situ",Urinary System,Hawaii,White,116,10.8,95.8,1427538.0
37,29010,"Urinary Bladder, invasive and in situ",Urinary System,Idaho,White,369,15.2,88.2,1716943.0
38,29010,"Urinary Bladder, invasive and in situ",Urinary System,Illinois,Asian or Pacific Islander,42,14.0,92.5,12802023.0
39,29010,"Urinary Bladder, invasive and in situ",Urinary System,Illinois,Black or African American,210,14.0,92.5,12802023.0
40,29010,"Urinary Bladder, invasive and in situ",Urinary System,Illinois,White,2866,14.0,92.5,12802023.0
41,29010,"Urinary Bladder, invasive and in situ",Urinary System,Illinois,Other Races and Unknown combined,58,14.0,92.5,12802023.0
42,29010,"Urinary Bladder, invasive and in situ",Urinary System,Indiana,Black or African American,53,15.0,90.5,6666818.0
